Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
CORE;HCIO;HCI-ON:Core Layer:HCIO:HC Interaction;User Observable State;;SysSwO:Computing Resulting State   ;A situation (an Observable State) perceivable by Users, typically achieved as the result (output) of a Program Copy Execution, communicated or presented by an Output Equipment.; a message shown in the mobile phone screen informing the user that the captured fingerprint was not recognized, smart watch vibrating, sounds emitted by the mobile phone.;5
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-B;Fact;;UFO:Situation   ;;;1
CORE;SysSwO;SEON:Core Layer:SysSwO:Hw Equipment;Hardware Equipment;kind;UFO:Object   ;DEFINIÇÃO NOVA: Physical Object used to process, transform, store, display or transmit information or data   DEFINIÇÃO ANTIGA: Physical Object used for running software programs or to support some related action.; Computer Dell I7, Laser Printer HP, Smartphone Galaxy 7, Router Linksys Wi-fi.;5
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Software Measurement Planning;event;SPO:Performed Composite Activity   COM:Measurement Planning   ;Activity for planning the software measurement, i.e., for determining the Software Measurement Goals to be monitored, the Information Needs to be considered, the Software-Related Measures to be collected to meet the Information Needs and the Operational Definition of Measure to be considered. ;;10
CORE;EO;SEON:Core Layer:EO;Project Team;subkind;EO:Team   SPO:Team Stakeholder   ;;;2
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Performed Process;Performed Specific Process;event;SPO:Performed Process   ;Performed Process that is part of the General Performed Process of a Project or Organization, necessarily composed of at least two Performed Activities.; the Project Management Process performed in a specific project, the Portfolio Management Process performed in an organization.;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Concrete Particular;;UFO:Individual   ;;;0
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Environment;Test Hardware Resource;role;SPO:Hardware Resource   ;Hardware Resource that comprises the Testing Environment of a Project.;;2
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Target Program Copy Execution;;SysSwO:Program Copy Execution   ;A Target Program Copy Execution is the execution of a Loaded Target Program Copy. It brings about to an Execution State.;;2
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Standard Process Definition Document;kind;UFO:Plan Description   ;Plan Description, recognized by an Organization, which describes a set of Standard Processes.; The whole available description of an organization processes.;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Abstract Particular;;UFO:Individual   ;;;0
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Checkin;event;SPO:Performed Simple Activity   ;Activity for including new Versions of Configuration Items into a version control repository.;;5
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Moment Universal;;UFO:Endurant Universal   ;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Relation;;UFO:Universal   ;;;0
CORE;HCIO;HCI-ON:Core Layer:HCIO:Interactive Computer System;Complex Interactive Computer System;;HCIO:Interactive Computer System   ;Interactive Computer System composed of others Interactive Computer System; IoT in a smart home. ;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Fulfilled;;;;;0
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Noncompliance Resolution;event;SPO:Performed Simple Activity   ;Activity for analyzing a noncompliance, planning and executing the applicable corrective actions to its resolution.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Measurement Quality Region;;UFO:Quality Region   ;;;1
CORE;SysSwO;SEON:Core Layer:SysSwO:Hw Equipment;Computer Machine;;SysSwO:Hardware Equipment   ;Hardware Equipment able to run programs, processing, transforming and storing data  _____________  Computer Machine is a hardware equipament able to run programs, processing, transforming and storing data and information.  Definição ANTIGA: Machine is a hardware equipament able to run programs.;;4
CORE;SysSwO;SEON:Core Layer:SysSwO:Program Execution;Software Function;;UFO:Function   ;Software Functions are functional dispositions that constitute the complex disposition Loaded Program Copy. Each Software Function is an instance of a Software Function Universal. When the software development process is accomplished correctly, the Software Functions that constitute the Loaded Program Copy are instances of the exact Software Function Universals described by the Program Specification and successfully implemented by the Program.;;2
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Stakeholder Participation;Stakeholder Main Participation;event;SPO:Stakeholder Participation   ;The participation of a Stakeholder as the main responsible for a Performed Activity, playing an Organizational Role.; Mary acting as the Project Manager in a Project Control activity.;1
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Techniques;Testing Technique;subkind;SPO:Technique   ;Technique for designing test cases. It can be Black-box, White-box, Model-based or Mutation testing techniques, among others.;;3
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;HCI Design Specification;;SDRO:Software Design Specification   ;A Software Design Specification that describes Mental HCI Design Specifications, encoding one or more HCI Design Choices (e.g., a hand-drawn sketch or a text document).;;4
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Techniques;Black-box Testing Technique;subkind;ROoST:Testing Technique   ;Testing technique that ignores the internal mechanism of a system or component and focuses solely on the outputs generated in response to selected inputs and execution conditions (adapted from ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary);;0
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Review;event;SPO:Performed Simple Activity   ;Activity for reviewing an accomplished change assuring that the modifications were made as planned.;;6
DOMAIN;RDPO;SEON:Domain Layer:RDPO;Requirements Agreement;subkind;SysSwO:Information Item   ;Information Item representing the agreement achieved by the Stakeholders, regarding the Requirements for the product.; the agreement on the requirements than can be contained in an e-mail or in a document section.;1
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Measurement Manager;role;SPO:Stakeholder   ;Role played by the Stakeholder in charge of Software Measurement Planning.; If John (a Person Stakeholder) was in charge of a software measurement planning, then he played the role of measurement manager. ;1
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Measurement Goals Establishment;event;SPO:Performed Simple Activity   ;Activity for establishing and recording the Software Measurement Goals to be included in the Software Measurement Plan. ;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Mode Universal;;UFO:Intrisic Moment Universal   ;;;0
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Software Goal;;UFO:Goal   ;Goal that expresses the intention for which software-related actions are planned and performed. Software Goals are based on Business Goals.; the software goal Improve software products quality could be defined based on the business goal Increase the client’s satisfaction degree. ;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Object Kind;;UFO:Kind   ;;;2
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Procedures;Technique;kind;SPO:Procedure   ;Procedure that provides heuristics to perform an activity (but in a less rigid and detailed way than a method, since it does not prescribe a set of activities).; White-box testing, Pair programming.;0
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Request Evaluation;event;SPO:Performed Simple Activity   ;Activity for evaluating the Change Request for a set of Configuration Items, authorizing or rejecting it.;;5
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Endurant Universal;;UFO:Universal   ;;;2
CORE;EO;SEON:Core Layer:EO:Human Resource Management;Employment Type;2ndOT;;;;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Action Universal;;UFO:Event Universal   ;;;4
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Sw Artifact Type;2ndOT;UFO:Object Kind   ;Object Kind which is the powertype of Artifact, classifying its specializations.; Document, Model, Software Product, Information Item, Software Item.;7
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Operational Definition of Measure Establishment;event;SPO:Performed Simple Activity   ;Activity for establishing the Operational Definitions of Measures for the identified Software-Related Measures. ;;2
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Adaptation Program Copy Execution;;RRO:RRT Program Copy Execution   ;An Adaptation Program Copy Execution is the execution of a Loaded Adaptation Program Copy. It uses Change Runtime Requirement Artifacts as resources to triggers changes in its Loaded Target Program Copy.;;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-B;Complex Event;;UFO:Event (Perdurant)   ;Complex events are aggregations of at least two disjoint events. A Complex Event is existentially dependent on all its proper parts and, indirectly, to the objects these proper parts depend on.;;1
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;Mental HCI Design Choice;;HCIDO:HCI Design Proposition   SDRO:Mental Software Design Choice   ;Mental Software Design Choices defining how the human-computer interaction should be implemented, including aspects related to the system’s appearance, the disposition of components in space and time and their expected behaviors in response to user actions.;;7
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Selection of Entity for Measurement;event;;Activity for selecting the Software-Related Measurable Entity to be measured in the Software Measurement Execution. The selected entity type must be the Software-Related Measurable Entity Type indicated in the Operational Definition of Measure defined in the selected Software Measurement Plan Item. ;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-B;Time Point;;UFO:Quale   ;;;6
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Performed Process;Performed Activity;event;RSMO:Measurable Software-Related Entity   UFO:Action   ;Action performed, in a specific Time Interval, by a Stakeholder, potentially producing and consuming Artifacts, as part of a Specific Performed Process.; Requirement Elicitation, Component Design, Coding, Integration Test, Training Planning.;19
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Communicated CR;phase;CMPO:Change Request (CR)   ;Change Request in the first phase, communicated.;;1
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Integration Testing;event;ROoST:Level-based Testing   ;Level-based Testing focusing on larger components, ensuring that a collection of units functions as desired.;;0
CORE;EO;SEON:Core Layer:EO:Human Resource Management;Formal Organization Member Type;2ndOT;EO:Human Resource Role   ;;;3
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Object;Mental HCI Design Object;;HCIDO:HCI Design Proposition   SDRO:Mental Software Design Object   ;A Mental Software Design Object specified by a Mental HCI Design Specification that refers to an Interactive Software System being designed (i.e., what is expected to exist after the HCI design effort);;2
DOMAIN;RDPO;SEON:Domain Layer:RDPO;Requirements Development Process;event;SPO:Performed Specific Process   ;Specific Performed Process for establishing and developing the requirements for a system or software.;;4
CORE;COM;SEON:Core Layer:COM:Measure;Derived Measure;;COM:Measure   ;Measure used to quantify an Indirectly Measurable Element.; the measure body mass index in kilos and meters can be used to quantify the indirectly measurable element body mass index.;4
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Requesting;event;SPO:Performed Simple Activity   ;Activity for requesting the modification of a set of Configuration Items.;;4
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Program;subkind;SysSwO:Software Item   ;Software Item which aims at producing a certain result through execution on a computer, in a particular way, given by the Program Specification. A Program is constituted by code, but it is not identical to code. Code can be changed without altering the identity of its program, which is anchored to the program's essential property: its intended specification (Program Specification).;;7
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Desire;;UFO:Mental Moment   ;;;0
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;User Initiated Participation;;HCIO:User Participation   ;Event in which a User inputs data or information using an Input Equipment.; user touching her finger to unlock her mobile phone by using her fingerprint.;5
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Noncompliance Responsible;role;SPO:Person Stakeholder   ;Stakeholder responsible for solving a noncompliance.;;1
CORE;HCIO;HCI-ON:Core Layer:HCIO:Interactive Computer System;Interactive Software System;;SysSwO:Software System   ;Software system that includes, among other programs, User Interface Programs.; a home banking system and its graphical programs that deals with user interface aspects.;2
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Procedures;Simple Method Activity;2ndOT;SPO:Method Activity   UFO:Atomic Action Universal   ;Method Activity that is not further decomposed into other Method Activities.;;0
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Configuration Items Identification;event;SPO:Performed Composite Activity   ;Activity for identifying the Configuration Items of a Project.;;1
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Runtime Requirement Artifact;;RSRO:Requirement Artifact   ;Runtime Requirement Artifact is a Requirement Artifact written in a computational file that could be processed by a program at runtime (RRT Program Copy Execution).;;2
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Mental Aspects;Mental Computing Resulting State;;SDRO:Software Design Proposition   ;A Software Design Proposition that represents an expected result of a Mental Software Design Choice that can only be assessed in runtime. ;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Belief;;UFO:Mental Moment   ;;;0
CORE;EO;SEON:Core Layer:EO;Team;kind;UFO:Social Agent   ;Social Agent representing a group of people with a defined purpose.; a Testing team, a Quality Assurance team, a Deployment team.;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Action;;UFO:Event (Perdurant)   ;Actions are intentional events, i.e. they are caused by Intentions. Actions are events which instantiate a Plan (Action Universal) with the specific purpose of satisfying (the propositional content of) some Intention.;;3
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Configuration Management Planning;event;SPO:Performed Composite Activity   ;Activity for planning the Configuration Management Process, including, among others, the Configuration Management System Establishment and the Configuration Items Identification.;;6
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Stakeholders;Person Stakeholder;role;SPO:Stakeholder   UFO:Person   ;Person interested or affected by the process activities or their results.; an Analyst, a Programmer, a User.;0
DOMAIN;DPO;SEON:Domain Layer:DPO;Design Documentation;event;SPO:Performed Composite Activity   ;Activity for registering the architectural and detailed design choices and decisions, producing a Design Document.;;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Function;;UFO:Disposition   ;;;1
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;User Intention;;UFO:Intention   ;An Intention that inheres in a User, causing him to perform intentional user actions.; the intention to travel on vacation.  ;3
DOMAIN;RDPO;SEON:Domain Layer:RDPO;Requirements Elicitation;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed for identifying requirements from the Stakeholders and other sources, and documenting them.;;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Agent;;UFO:Substantial   ;Agents are Substantials (Functional Complexes or Collectives) that can bear special kinds of Intrinsic Moments named Intentional Moments.;;4
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;Software Project;subkind;RSMO:Measurable Software-Related Entity   EO:Project   ;A Project related to software development or maintenance.;;8
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Stakeholder Intention;;UFO:Intention   ;The intention of Requirements Stakeholders that defines requirements to be achieved.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Phasemixin;;UFO:Anti-Rigid Mixin Universal   ;;;0
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Physical Aspects;Software Design Object;;SysSwO:Software System   ;A Software System which is the concrete realization of some Software Design Specification, implementing Mental Software Design Objects.;;4
DOMAIN;RDPO;SEON:Domain Layer:RDPO;Requirements Documentation;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed for recording Documented Requirements and related Conceptual Models in Requirements Documents, assuring proper recording and management of them during and after the project.;;4
CORE;EO;SEON:Core Layer:EO;Team Membership;relator;UFO:Social Relator   ;;;3
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Stakeholders;Project Stakeholder;rolemixin;SPO:Stakeholder   ;Stakeholder interested in a particular Project.; the Project Team, the Project Client.;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Social Moment;;UFO:Intentional Moment   UFO:Externally Dependent Moment   ;;;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Checkout;event;SPO:Performed Simple Activity   ;Activity for accessing defined versions of Configuration Items from a version control repository, usually for changing purposes.;;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Function Universal;;;;;1
CORE;COM;SEON:Core Layer:COM:Measurement Planning;Information Need;;UFO:Goal   ;Information Needs are identified from Measurement Goals and determine which information have to be met by Measures in order to monitor the achievement of the related Measurement Goal.; the information need What is the patient body mass index? could be identified from the measurement goal Check if the patient has a good body mass index.;6
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Measure Description;subkind;SysSwO:Information Item   ;Information Item that documents the description of  a Software-Related Measure.; the record of the software-related measure   delivered defects density.;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Abstract Thing;;;;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Ordinal MeaRefDimension;;UFO:Measurement Reference Dimension   ;;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Formal Relation;;UFO:Relation   ;;;0
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Suite;subkind;SysSwO:Document   ;A collection of test cases that are intended to be used to test a software program to show that it has some specified set of behaviours (Wikipedia).;;1
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Procedures;Document Template;kind;SPO:Procedure   ;Procedure aiming to establish a uniform way for preparing a Document, providing a predefined format and a defined structure for filling with the expected information.; Project Plan Template, Test Report Template.;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-B;Event Universal;;UFO:Universal   ;;;1
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Change Runtime Requirement Artifact;;RRO:Runtime Requirement Artifact   ;Change Runtime Requirement Artifact specifies changes on the system's behavior, in order for the software system to keep fulfilling the goals it has been designed for.;;2
DOMAIN;DPO;SEON:Domain Layer:DPO;Architectural Connector;subkind;DPO:Architectural Element   ;Architectural Element connecting two or more Components in an Architecture.;;1
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Loaded Target Program Copy;;SysSwO:Loaded Program Copy   ;Loaded Target Program Copy is the materialization of a Target Program.;;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Social Role;;UFO:Role   ;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Social Relator;;UFO:Relator   ;;;1
CORE;EO;SEON:Core Layer:EO;Organizational Role;2ndOT;UFO:Social Role   ;A Social Role, recognized by the Organization, assigned to Agents when they are hired, included in a team, allocated or participating in activities.; System Analyst, Designer, Programmer, Client Organization.;8
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Evaluation Report;subkind;SysSwO:Document   ;Document describing the evaluation results and identified issues.;;1
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Techniques;Model-based Testing Technique;subkind;ROoST:Testing Technique   ;Testing technique in which the test cases are derived from a model that describes the system under test.;;0
CORE;HCIO;HCI-ON:Core Layer:HCIO:HC Interaction;User Input Resulting State;;UFO:Situation   ;A situation achieved as the result of User’s input (data or information) received by means of an Input Equipment.; the user fingerprint captured by the mobile phone system, the button clicked.;4
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Deliverable Product;subkind;SysSwO:Software Product   ;Software Product ready to be delivered to the client.;;2
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Planning Item Documentation;event;SPO:Performed Simple Activity   ;Activity for documenting Measurement Planning Items. Each Measurement Planning Item includes a Software Measurement Goal Description, an Information Need Description, a Software-Related Measure and an Operational Definition of Measure. Measurement Planning Items produced during the Software Measurement Analysis are part of the Software Measurement Plan produced in that activity. ;;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Relational Role;;UFO:Role   ;;;0
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Document;kind;SysSwO:Software Artifact   ;Any written or pictorial, uniquely identified, information related to the software development, usually presented in a predefined format.; a Requirements Document, a specification, a report.;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Case;subkind;SysSwO:Document   ;Document containing the input data, expected results, steps and general conditions for testing some situation regarding a Code To Be Tested.;;10
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Analysis Result Description;;SysSwO:Information Item   ;Information Item that records the Analysis Result produced in a Software Measurement Analysis.  ; the record of the analysis result: the schedule performance index of the Project P has improved in the last three months and the project is now adherent to the agreed schedule.    ;4
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Resources;CASE Tool;subkind;SysSwO:Software Product   ;;;0
CORE;SPO;SEON:Core Layer:SPO;Software Organization;;;;;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Requester;role;SPO:Stakeholder   ;Stakeholder responsible for requesting a change in Configuration Items.;;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Reviewed CR;phase;CMPO:Change Request (CR)   ;Change Request reviewed to check if the modifications done are correct.;;1
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Quality Assurance Plan;subkind;SysSwO:Document   ;Document registering the planed quality assurance activities, processes and artifacts to be evaluated and involved personnel.;;1
CORE;HCIO;HCI-ON:Core Layer:HCIO:HC Interaction;Human-Computer Interaction;;UFO:Complex Action   COM:Measurable Entity   ;An exchange of information (i.e., communication) between a User and an Interactive Computer System via the User Interface.; user touching her finger to unlock her mobile phone by using her fingerprint and the mobile phone system showing a message informing that the fingerprint was not recognized, user entering a room, in a smart home, which automatically turns on the light. ;6
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Entity;;;Entity is the topmost category of UFO, representing anything, concrete or abstract, and both types and individuals.;;1
CORE;EO;SEON:Core Layer:EO:Organizational Structure;Formal Organization Type;2ndOT;;;;4
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Software Product;kind;SysSwO:Software Artifact   SysSwO:Complex Sw Artifact   ;One or more computer programs together with any accompanying auxiliary items, such as documentation, delivered under a single name, ready for use.; Astah modeling tool, Microsoft Word, Eclipse IDE.;3
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Allocation;Stakeholder Allocation;relator;UFO:Social Relator   ;Social Relator representing a Stakeholder allocated to perform a Scheduled Activity acting an Organizational Role.; the allocation of Mary as a Project Manager to perform the scheduled Project Planning activity.;4
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Selection of Data for Analysis;event;;Activity for selecting the Measured Values of the selected Software-Related Measures to be analyzed in the Software Measurement Analysis. ;;1
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Atomic Sw Artifact;category;SysSwO:Software Artifact   ;Artifact that is not decomposed into other Artifacts.;;0
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Requirements Document;subkind;SysSwO:Document   SysSwO:Complex Sw Artifact   ;Document composed of Documented Requirements and related information, as a basis for other technical software processes, including maintenance.; the Requirements Document of the Alfa Project.;11
DOMAIN;DPO;SEON:Domain Layer:DPO;Design Process;event;SPO:Performed Specific Process   ;Process for defining and specifying a solution to be implemented for a software product, considering the requirements for it. It is a refinement process starting with the software architecture, and going down to the design of its elements, interfaces, and other characteristics of a software, until achieving the design of implementation units.;;4
CORE;COM;SEON:Core Layer:COM:Measurement Planning;Measurement Planning;;UFO:Event (Perdurant)   ;Action that plans the measurement, i.e., determines the Measurement Goals to be monitored, the Information Needs to be considered, the Measures to be collected to meet the Information Needs and the Measurement Procedures to be applied. ;;1
CORE;SysSwO;SEON:Core Layer:SysSwO:Program Execution;Computing Resulting State;;UFO:Situation   ;Observable State is a situation resulting from the execution of a program copy. It involves qualities and quality values (qualia) of the Machine in which the Loaded Program Copy inheres, as well as of entities residing in that Machine (including the Loaded Program Copy itself).;;4
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Selection of Measurement Goals for Analysis;event;;Activity for selecting the Software Measurement Goal to be monitored by using information provided by the Software Measurement Analysis.   ;;1
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;Composite Intended Activity;mode;SPO:Intended Activity   ;Intended Activity composed of other Intended Activities.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Goal;;UFO:Proposition   ;The propositional content of an Intention.;;4
DOMAIN;DPO;SEON:Domain Layer:DPO;Component Design;event;SPO:Performed Simple Activity   ;Activity for refining each Architectural Component of a software.;;2
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Estimated Process;Estimated Stakeholder Allocation;;SPO:Stakeholder Allocation   ;;;2
CORE;HCIO;HCI-ON:Core Layer:HCIO:Interactive Computer System;User Interface;;UFO:Object   COM:Measurable Entity   ;All components of an interactive system (software or hardware) that provide information and controls for the user to accomplish specific tasks with the interactive system.; mouse, keyboard, monitor, sensors and the software that handle them. ;13
CORE;COM;SEON:Core Layer:COM:Measurement;Measured Value;;COM:Scale Value   ;Value obtained in a Measurement.; the measured value 75 obtained in the measurement of the measurable element weight of the measurable entity John by applying the measure weight in kilos.;4
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Code To Be Tested;role;SysSwO:Code   ;Portion of Code (software module) to be tested by a Test Case.;;2
CORE;COM;SEON:Core Layer:COM:Measure;Interval Scale;;COM:Scale   UFO:Interval MeaRefDimension   ;Scale in which it is possible to quantify the distance between its Scale Values and there is not a value to represent nonentity (absolute zero). In an Interval Scale, although it is possible to quantify the distance between Scale Values, it is not possible to establish other relations between them.; the measure temperature in Celsius degree has an interval scale, since it is possible to quantify the distance between its scale values (e.g., there are 10o between the temperatures 20oC and 30oC), 0oC does not mean the absence of temperature and it is not possible to establish relations between scale values (e.g., we cannot say that 50oC is twice hotter than 25oC).;0
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;General Project Process;;SPO:Project Process   ;;;1
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Tracked Process;Tracked Activity;;SPO:Performed Project Activity   ;;;2
DOMAIN;CPO;SEON:Domain Layer:CPO;Code Review Report;subkind;SysSwO:Document   ;Document pointing out problems identified in the Code during review activities.;;1
CORE;EO;SEON:Core Layer:EO:Organizational Structure;Complex Organizational Unit;;EO:Organizational Unit   ;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Moment;;UFO:Endurant   ;Moments are individuals that can only exist by inhering in other individuals. In other words, moments are individuals that are existentially-dependent on their bearers (@e.g., a person’s headache, a covalent bond between atoms).;;1
DOMAIN;RDPO;SEON:Domain Layer:RDPO;Requirements Evaluation Document;subkind;SysSwO:Document   ;Document pointing out problems identified in Documented Requirements and Conceptual Models registered in a Requirements Document.;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Social Object;;UFO:Object   ;;;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Implementer;role;SPO:Stakeholder   ;Stakeholder responsible for implementing a change in Configuration Items.;;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Request (CR);subkind;SysSwO:Information Item   ;Information Item describing a request for modification on a set of Configuration Items.; a request for changing the project planning replacing a developer, which affects the Project Plan and the Project Schedule.;1
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Measures Identification;event;SPO:Performed Simple Activity   ;Activity for identifying and recording the Software-Related Measures to be included in the Software Measurement Plan. Software-Related Measures are identified from Information Needs in the sense that Measures must meet the identified Information Needs.;;2
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Configuration Management Process;event;SPO:Performed Specific Process   ;Process for conducting the activities related to software configuration management, ensuring the completeness and correctness of software Configuration Items.;;5
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Plan Description;;UFO:Normative Description   ;;;1
CORE;EO;SEON:Core Layer:EO:Human Resource Management;Employment;relator;UFO:Social Relator   ;;;5
CORE;EO;SEON:Core Layer:EO:Human Resource Management;Human Resource;role;UFO:Role   UFO:Person   ;;;3
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Noncompliance Identification;event;SPO:Performed Simple Activity   ;Activity for registering the noncompliances identified in processes and artifacts.;;2
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Adaptation Program;;RRO:RRT Program   ;An Adaptation Program is a RRT Program that intends to satisfy at least one Change Runtime Requirement Artifact.;;2
